역명,지역
"삼전, 석촌고분, 잠실새내, 종합운동장",서울
"서대문, 충정로",서울
서울대입구,서울
서울역,서울
"신길, 영등포, 영등포시장",서울
"신용산, 용산",서울
"신촌, 이대",서울
안국,서울
안양,경기
"압구정, 압구정로데오",서울
양재,서울
"을지로3가, 을지로4가, 종로3가, 종로5가, 충무로",서울
"잠실, 잠실나루",서울
"한성대입구, 혜화",서울
홍대입구,서울
