상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
105,"성남, 이매, 판교",경기,18,2,1
98,서동탄,경기,9,11,1
45,대야미,경기,3,16,1
36,능곡,경기,3,16,1
79,보정,경기,3,15,1
187,지석,경기,11,7,1
374,일원,서울,14,3,1
139,양수,경기,14,2,1
78,보산,경기,4,11,1
2,가평,경기,8,7,1
16,관악,경기,1,10,1
123,시청·용인대,경기,1,10,1
32,까치울,경기,1,10,1
371,응봉,서울,1,10,1
112,소요산,경기,1,10,1
168,월롱,경기,1,10,1
204,파주,경기,1,10,1
198,초당,경기,1,10,1
283,독바위,서울,1,10,1
266,남태령,서울,8,1,1
170,이천,경기,8,1,1
268,노들,서울,2,6,1
396,한강진,서울,2,6,1
175,장암,경기,2,6,1
141,양주,경기,2,6,1
128,신둔도예촌,경기,2,6,1
193,천마산,경기,2,6,1
197,청평,경기,2,6,1
205,팔당,경기,2,6,1
309,복정,서울,6,1,1
137,야목,경기,6,1,1
85,사릉,경기,6,1,1
13,곡산,경기,0,0,1
8,경마공원,경기,0,0,1
252,"구반포, 동작",서울,0,0,1
196,청산,경기,0,0,1
189,지평,경기,0,0,1
191,진위,경기,0,0,1
234,개화,서울,0,0,1
215,한국항공대,경기,0,0,1
5,강매,경기,0,0,1
146,여주,경기,0,0,1
158,운길산,경기,0,0,1
155,오이도,경기,0,0,1
152,오빈,경기,0,0,1
173,임진강,경기,0,0,1
161,운천,경기,0,0,1
163,원덕,경기,0,0,1
133,아신,경기,0,0,1
140,양정,경기,0,0,1
102,선바위,경기,0,0,1
109,세종대왕릉,경기,0,0,1
145,어천,경기,0,0,1
129,신원,경기,0,0,1
325,서빙고,서울,0,0,1
53,동두천,경기,0,0,1
84,부천종합운동장,경기,0,0,1
96,상천,경기,0,0,1
81,부발,경기,0,0,1
40,달월,경기,0,0,1
44,대성리,경기,0,0,1
37,능길,경기,0,0,1
39,달미,경기,0,0,1
43,대공원,경기,0,0,1
42,대곡,경기,0,0,1
24,국수,경기,0,0,1
