상권_ID,역명,지역,프리미엄_지수,클러스터
294,"마포구청, 월드컵경기장",서울,27,3
336,숭실대입구,서울,27,3
147,역곡,경기,27,3
379,장한평,서울,27,3
47,덕계,경기,26,3
274,"답십리, 마장, 신답, 왕십리, 용답",서울,26,3
162,원당,경기,25,3
166,원흥,경기,25,3
214,하남풍산,경기,24,3
167,월곶,경기,24,3
327,석계,서울,24,3
254,구일,서울,24,3
321,"상월곡, 월곡",서울,23,3
195,청명,경기,23,3
188,지축,경기,23,3
225,가좌,서울,23,3
76,별내별가람,경기,23,3
282,독립문,서울,23,3
375,자양,서울,23,3
92,삼송,경기,23,3
271,녹번,서울,22,3
59,마산,경기,22,3
337,신금호,서울,22,3
95,상록수,경기,22,3
29,금촌,경기,22,3
33,남위례,경기,22,3
333,수락산,서울,21,3
75,별내,경기,21,3
285,돌곶이,서울,21,3
0,"가능, 경기도청북부청사, 경전철의정부, 곤제, 동오, 새말, 의정부, 의정부시청, 의정부중앙, 효자, 흥선",경기,21,3
101,석수,경기,21,3
235,"개화산, 방화",서울,21,3
114,"송산, 어룡, 탑석",경기,21,3
211,풍산,경기,21,3
134,안산,경기,21,3
27,금릉,경기,20,3
365,옥수,서울,20,3
90,삼가,경기,20,0
63,매교,경기,20,3
6,걸포북변,경기,20,3
177,전곡,경기,20,0
23,구성,경기,20,3
292,마들,서울,20,3
279,도림천,서울,20,3
192,진접,경기,20,3
201,춘의,경기,20,3
264,남성,서울,20,3
386,중화,서울,19,3
115,송탄,경기,19,3
99,서정리,경기,19,3
318,상계,서울,19,3
61,망월사,경기,19,3
391,청계산입구,서울,19,0
153,오산,경기,18,3
380,정릉,서울,18,3
217,행신,경기,18,3
299,면목,서울,18,3
15,과천,경기,18,3
354,양천구청,서울,18,3
105,"성남, 이매, 판교",경기,18,3
185,중동,경기,17,3
212,하남검단산,경기,17,0
25,군포,경기,17,3
231,강일,서울,17,0
35,녹양,경기,16,0
151,오목천,경기,16,0
382,중계,서울,16,3
387,증산,서울,16,0
340,신대방,서울,16,3
111,소새울,경기,16,0
293,마천,서울,15,0
107,세류,경기,15,0
41,당정,경기,15,0
67,문산,경기,15,0
156,용문,경기,14,0
165,원종,경기,14,0
49,덕정,경기,14,0
374,일원,서울,14,0
368,용마산,서울,14,0
139,양수,경기,14,0
370,월계,서울,14,0
57,둔전,경기,14,0
60,마석,경기,14,0
302,무악재,서울,14,0
127,신갈,경기,14,0
12,고촌,경기,13,0
389,천왕,서울,13,0
178,전대·에버랜드,경기,13,0
