역명,타입내_순위,노선명,지역,상권_총점,총_승하차객수,프리미엄_점수,가성비_점수,상권_성격
운길산,457,경의중앙선,경기,0,927,0,0,Type 2. 생활 밀착형 활성 상권
원덕,458,경의중앙선,경기,0,563,0,0,Type 2. 생활 밀착형 활성 상권
진위,459,1호선,경기,0,2714,0,0,Type 2. 생활 밀착형 활성 상권
천마산,460,경춘선,경기,0,2738,0,0,Type 2. 생활 밀착형 활성 상권
청산,461,1호선,경기,0,241,0,0,Type 2. 생활 밀착형 활성 상권
청평,462,경춘선,경기,0,3012,0,0,Type 2. 생활 밀착형 활성 상권
한국항공대,463,경의중앙선,경기,0,2991,0,0,Type 2. 생활 밀착형 활성 상권
호포,464,부산2호선,경남,0,2299,0,0,Type 2. 생활 밀착형 활성 상권
공항,465,광주1호선,광주,0,1915,0,0,Type 2. 생활 밀착형 활성 상권
동천,466,대구3호선,대구,0,3729,0,0,Type 2. 생활 밀착형 활성 상권
만평,467,대구3호선,대구,0,2408,0,0,Type 2. 생활 밀착형 활성 상권
문양,468,대구2호선,대구,0,4346,0,0,Type 2. 생활 밀착형 활성 상권
부호,469,대구1호선,대구,0,1954,0,0,Type 2. 생활 밀착형 활성 상권
신기,470,대구1호선,대구,0,6663,0,0,Type 2. 생활 밀착형 활성 상권
안심,471,대구1호선,대구,0,6471,0,0,Type 2. 생활 밀착형 활성 상권
연호,472,대구2호선,대구,0,1001,0,0,Type 2. 생활 밀착형 활성 상권
용계,473,대구1호선,대구,0,3505,0,0,Type 2. 생활 밀착형 활성 상권
팔달,474,대구3호선,대구,0,1916,0,0,Type 2. 생활 밀착형 활성 상권
해안,475,대구1호선,대구,0,4411,0,0,Type 2. 생활 밀착형 활성 상권
월드컵경기장,476,대전1호선,대전,0,4562,0,0,Type 2. 생활 밀착형 활성 상권
고촌,477,부산4호선,부산,0,946,0,0,Type 2. 생활 밀착형 활성 상권
대사,478,부산김해경전철,부산,0,868,0,0,Type 2. 생활 밀착형 활성 상권
등구,479,부산김해경전철,부산,0,409,0,0,Type 2. 생활 밀착형 활성 상권
반여농산물시장,480,부산4호선,부산,0,3264,0,0,Type 2. 생활 밀착형 활성 상권
석대,481,부산4호선,부산,0,211,0,0,Type 2. 생활 밀착형 활성 상권
송정,482,동해선,부산,0,2927,0,0,Type 2. 생활 밀착형 활성 상권
월내,483,동해선,부산,0,1173,0,0,Type 2. 생활 밀착형 활성 상권
체육공원,484,부산3호선,부산,0,1860,0,0,Type 2. 생활 밀착형 활성 상권
개화,485,9호선,서울,0,3758,0,0,Type 2. 생활 밀착형 활성 상권
남태령,486,4호선,서울,0,2355,0,0,Type 2. 생활 밀착형 활성 상권
동작,487,"4호선, 9호선",서울,0,7032,0,0,Type 2. 생활 밀착형 활성 상권
버티고개,488,6호선,서울,0,4210,0,0,Type 2. 생활 밀착형 활성 상권
복정,489,"8호선, 수인분당선",서울,0,16105,0,0,Type 2. 생활 밀착형 활성 상권
서빙고,490,경의중앙선,서울,0,4117,0,0,Type 2. 생활 밀착형 활성 상권
개운포,491,동해선,울산,0,422,0,0,Type 2. 생활 밀착형 활성 상권
망양,492,동해선,울산,0,528,0,0,Type 2. 생활 밀착형 활성 상권
서생,493,동해선,울산,0,1037,0,0,Type 2. 생활 밀착형 활성 상권
검단오류,494,인천2호선,인천,0,4540,0,0,Type 2. 생활 밀착형 활성 상권
검단호수공원,495,인천1호선,인천,0,1240,0,0,Type 2. 생활 밀착형 활성 상권
계양,496,"공항철도, 인천1호선",인천,0,21091,0,0,Type 2. 생활 밀착형 활성 상권
공항화물청사,497,공항철도,인천,0,3958,0,0,Type 2. 생활 밀착형 활성 상권
문학경기장,498,인천1호선,인천,0,2901,0,0,Type 2. 생활 밀착형 활성 상권
영종,499,공항철도,인천,0,8487,0,0,Type 2. 생활 밀착형 활성 상권
운연,500,인천2호선,인천,0,1965,0,0,Type 2. 생활 밀착형 활성 상권
원인재,501,"수인분당선, 인천1호선",인천,0,12643,0,0,Type 2. 생활 밀착형 활성 상권
주안국가산단,502,인천2호선,인천,0,4307,0,0,Type 2. 생활 밀착형 활성 상권
청라국제도시,503,공항철도,인천,0,13840,0,0,Type 2. 생활 밀착형 활성 상권
신창,504,1호선,충남,0,1996,0,0,Type 2. 생활 밀착형 활성 상권
직산,505,1호선,충남,0,1816,0,0,Type 2. 생활 밀착형 활성 상권
경성대·부경대,1,부산2호선,부산,36,0,21,15,Type 3. 저밀도 주거/교외 상권
서부정류장,2,대구1호선,대구,9,0,6,3,Type 3. 저밀도 주거/교외 상권
수성못,3,대구3호선,대구,9,0,9,0,Type 3. 저밀도 주거/교외 상권
칠성시장,4,대구1호선,대구,7,0,3,4,Type 3. 저밀도 주거/교외 상권
서문시장,5,대구3호선,대구,5,0,3,2,Type 3. 저밀도 주거/교외 상권
어린이세상,6,대구3호선,대구,4,0,3,1,Type 3. 저밀도 주거/교외 상권
학동증심사입구,7,광주1호선,광주,3,0,0,3,Type 3. 저밀도 주거/교외 상권
능길,8,"4호선, 수인분당선",경기,0,0,0,0,Type 3. 저밀도 주거/교외 상권
운천,9,경의중앙선,경기,0,9,0,0,Type 3. 저밀도 주거/교외 상권
임진강,10,경의중앙선,경기,0,25,0,0,Type 3. 저밀도 주거/교외 상권
지평,11,경의중앙선,경기,0,86,0,0,Type 3. 저밀도 주거/교외 상권
북삼,12,대경선,경북,0,0,0,0,Type 3. 저밀도 주거/교외 상권
수성알파시티,13,대구2호선,대구,0,0,0,0,Type 3. 저밀도 주거/교외 상권
