역명,지역명,상권_ID,클러스터
가평,경기,8830e11683fffff,3
양수,경기,8830e1191bfffff,3
운길산,경기,8830e1195bfffff,1
신원,경기,8830e119b9fffff,1
곤지암,경기,8830e14291fffff,2
전대·에버랜드,경기,8830e1436dfffff,0
신둔도예촌,경기,8830e14543fffff,0
이천,경기,8830e14e89fffff,3
경기광주,경기,8830e15099fffff,2
수진,경기,8830e15243fffff,0
모란,경기,8830e15245fffff,0
가천대,경기,8830e15249fffff,0
태평,경기,8830e1524dfffff,0
남한산성입구,경기,8830e15253fffff,2
신흥,경기,8830e15255fffff,2
단대오거리,경기,8830e15257fffff,0
산성,경기,8830e15259fffff,2
삼동,경기,8830e152a1fffff,2
덕정,경기,8830e19947fffff,0
"경전철의정부, 의정부",경기,8830e1d739fffff,0
동두천중앙,경기,8830e19a25fffff,2
동두천,경기,8830e19a0dfffff,1
장자호수공원,경기,8830e1ce49fffff,0
팔당,경기,8830e1ccddfffff,0
하남검단산,경기,8830e1cccdfffff,0
하남시청,경기,8830e1cc53fffff,0
별내별가람,경기,8830e1c29bfffff,0
갈매,경기,8830e1c2b5fffff,0
선바위,경기,8830e1cb29fffff,1
경마공원,경기,8830e1cb21fffff,1
금곡,경기,8830e1c427fffff,2
사릉,경기,8830e1c46dfffff,3
천마산,경기,8830e1c4bbfffff,0
평내호평,경기,8830e1c4e1fffff,0
양정,경기,8830e1c53dfffff,1
도농,경기,8830e1c569fffff,0
오남,경기,8830e1c615fffff,2
진접,경기,8830e1c6cdfffff,0
퇴계원,경기,8830e1c763fffff,2
별내,경기,8830e1c765fffff,0
파주,경기,8830e56a05fffff,2
월롱,경기,8830e56a25fffff,2
남위례,경기,8830e1c8bbfffff,0
금촌,경기,8830e56b05fffff,0
금릉,경기,8830e56b2dfffff,0
문산,경기,8830e578b3fffff,2
덕소,경기,8830e1ceddfffff,2
하남풍산,경기,8830e1cee7fffff,3
도심,경기,8830e1ced7fffff,2
지축,경기,8830e1d16bfffff,0
보산,경기,8830e19a29fffff,0
오빈,경기,8830e1081bfffff,1
소요산,경기,8830e19a5dfffff,2
지행,경기,8830e19b19fffff,0
발곡,경기,8830e1d737fffff,2
회룡,경기,8830e1d735fffff,2
가능,경기,8830e1d71dfffff,2
녹양,경기,8830e1d719fffff,2
동오,경기,8830e1d717fffff,2
미사,경기,8830e1ceedfffff,0
의정부시청,경기,8830e1d707fffff,2
흥선,경기,8830e1d703fffff,2
의정부중앙,경기,8830e1d715fffff,0
양주,경기,8830e1d629fffff,0
어룡,경기,8830e1d401fffff,2
송산,경기,8830e1d407fffff,2
"곤제, 효자",경기,8830e1d409fffff,2
덕계,경기,8830e1d65bfffff,0
다산,경기,8830e1c09bfffff,0
구리,경기,8830e1c0b9fffff,0
탑석,경기,8830e1d42bfffff,2
새말,경기,8830e1d445fffff,2
경기도청북부청사,경기,8830e1d447fffff,0
장암,경기,8830e1d50dfffff,0
망월사,경기,8830e1d541fffff,0
동구릉,경기,8830e1c083fffff,0
호포,경남,8830c16259fffff,1
증산,경남,8830c17099fffff,0
박물관,경남,8830c17125fffff,0
연지공원,경남,8830c17129fffff,0
장신대,경남,8830c17163fffff,0
가야대,경남,8830c1716bfffff,2
봉황,경남,8830c17a13fffff,3
양산,경남,8830c17701fffff,0
남양산,경남,8830c17729fffff,0
부산대양산캠퍼스,경남,8830c17725fffff,2
김해시청,경남,8830c17ac7fffff,0
지내,경남,8830c17a9dfffff,2
불암,경남,8830c17a95fffff,0
김해대학,경남,8830c17a8bfffff,2
인제대,경남,8830c17a89fffff,3
수로왕릉,경남,8830c17a1bfffff,0
부원,경남,8830c17ac5fffff,2
왜관,경북,8830c52b49fffff,2
구미,경북,8830c504bdfffff,0
경산,경북,8830c18053fffff,2
북삼,경북,8830c53869fffff,1
사곡,경북,8830c53a0bfffff,0
"금남로4가, 금남로5가",광주,8830c6ada7fffff,0
화정,광주,8830c632d5fffff,2
양동시장,광주,8830c6ada5fffff,2
평동,광주,8830c6a9b7fffff,0
남광주,광주,8830c6376bfffff,2
학동증심사입구,광주,8830c63763fffff,2
돌고개,광주,8830c632d3fffff,2
소태,광주,8830c63729fffff,2
문화전당,광주,8830c63741fffff,0
쌍촌,광주,8830c632c3fffff,0
광주송정,광주,8830c6326bfffff,0
도산,광주,8830c63261fffff,0
운천,광주,8830c632c1fffff,0
"김대중컨벤션센터, 상무",광주,8830c63213fffff,2
공항,광주,8830c63209fffff,1
녹동,광주,8830c6309bfffff,2
송정공원,광주,8830c63247fffff,2
농성,광주,8830c632d1fffff,2
