상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
401,홍대입구,서울,151.1,44.0,2
329,선릉,서울,142.8,43.0,2
241,"고속터미널, 반포, 사평, 신반포, 잠원",서울,142.3,35.0,2
291,"마곡, 마곡나루",서울,131.0,40.0,2
226,"강남, 논현, 신논현, 신사",서울,130.3,38.0,2
242,"공덕, 마포",서울,121.4,38.0,2
249,"교대, 서초",서울,107.3,32.0,2
364,오목교,서울,106.8,30.0,2
310,"봉은사, 삼성, 삼성중앙, 청담",서울,106.7,26.0,2
361,영등포,서울,106.4,31.0,2
248,"광흥창, 대흥, 상수, 서강대, 신촌, 이대",서울,105.8,28.0,2
376,"잠실, 잠실나루",서울,104.9,32.0,2
398,"한성대입구, 혜화",서울,103.7,28.0,2
263,남부터미널,서울,102.5,31.0,2
237,건대입구,서울,102.5,31.0,2
307,발산,서울,99.7,30.0,2
270,노원,서울,99.4,29.0,2
119,수원시청,경기,96.5,29.0,2
317,"삼전, 잠실새내",서울,94.8,29.0,2
230,"강변, 구의",서울,94.8,28.0,2
303,"문래, 영등포구청",서울,94.7,30.0,2
256,국회의사당,서울,94.2,28.0,2
352,양재,서울,92.2,28.0,2
350,압구정,서울,92.2,26.0,2
179,정발산,경기,91.8,27.0,2
400,합정,서울,91.7,28.0,2
118,수원,경기,91.7,23.0,2
222,"가산디지털단지, 남구로",서울,91.4,31.0,2
251,구로디지털단지,서울,89.0,32.0,2
138,야탑,경기,88.5,26.0,2
135,안양,경기,87.9,28.0,2
94,상동,경기,87.8,27.0,2
238,"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 시청, 신당, 안국, 약수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",서울,87.7,29.0,2
278,"대방, 샛강, 여의도",서울,86.5,26.0,2
404,회기,서울,86.0,26.0,2
326,서울대입구,서울,85.5,30.0,2
130,신중동,경기,84.2,26.0,2
393,총신대입구,서울,82.5,25.0,2
100,서현,경기,81.8,24.0,2
328,석촌고분,서울,81.0,25.0,2
362,영등포시장,서울,79.9,30.0,2
74,범계,경기,79.6,23.0,1
186,중앙,경기,78.8,24.0,2
335,"수유, 화계",서울,78.2,24.0,2
69,미사,경기,77.6,26.0,2
228,"강동, 길동",서울,75.6,23.0,1
116,수내,경기,75.2,23.0,1
182,정자,경기,75.2,24.0,1
18,광교중앙,경기,74.6,24.0,1
88,산본,경기,72.9,20.0,1
219,화정,경기,72.9,22.0,1
332,성신여대입구,서울,72.0,25.0,1
390,천호,서울,71.0,24.0,1
227,"강남구청, 선정릉",서울,71.0,20.0,1
360,연신내,서울,70.8,24.0,1
83,부천시청,경기,70.1,22.0,1
223,"가양, 증미",서울,69.6,23.0,1
306,미아사거리,서울,69.0,22.0,1
372,응암,서울,68.4,23.0,1
301,"몽촌토성, 석촌, 송파, 송파나루, 한성백제",서울,67.2,21.0,1
58,마두,경기,67.2,20.0,1
304,문정,서울,67.0,22.0,1
296,망원,서울,67.0,23.0,1
403,화곡,서울,66.4,21.0,1
290,"뚝섬, 서울숲",서울,66.4,24.0,1
295,"망우, 상봉",서울,66.2,22.0,1
22,구리,경기,65.5,21.0,1
250,구로,서울,65.4,20.0,1
324,"서대문, 아현, 애오개, 충정로",서울,65.4,19.0,1
82,부천,경기,64.5,23.0,1
275,"당곡, 보라매, 보라매공원, 보라매병원, 서울대벤처타운, 서울지방병무청, 서원, 신대방삼거리, 신림",서울,63.9,20.0,1
378,장지,서울,63.8,18.0,1
240,"고려대, 안암",서울,63.6,18.0,1
351,압구정로데오,서울,62.4,15.0,1
19,광명,경기,61.2,18.0,1
269,노량진,서울,61.1,19.0,1
394,태릉입구,서울,59.9,18.0,1
194,철산,경기,59.8,18.0,1
276,당산,서울,58.9,19.0,1
260,길음,서울,58.2,18.0,1
358,"언주, 역삼, 학동",서울,57.6,18.0,1
38,다산,경기,57.6,20.0,1
258,"굽은다리, 명일",서울,57.1,18.0,1
71,"발곡, 범골, 회룡",경기,57.0,21.0,1
343,신설동,서울,56.8,19.0,1
149,영통,경기,56.7,17.0,1
103,선부,경기,56.6,17.0,1
359,여의나루,서울,56.4,14.0,1
207,평촌,경기,56.0,19.0,1
21,구래,경기,55.8,18.0,1
131,신천,경기,54.6,18.0,1
320,"상왕십리, 행당",서울,53.6,17.0,1
357,어린이대공원,서울,53.6,17.0,1
243,공릉,서울,53.0,17.0,1
253,"구산, 불광, 역촌",서울,52.2,16.0,1
331,성수,서울,52.2,20.0,1
56,"동천, 오리",경기,52.0,17.0,1
255,구파발,서울,52.0,15.0,1
392,청량리,서울,51.4,17.0,1
346,쌍문,서울,51.4,17.0,1
316,사당,서울,50.8,15.0,1
286,둔촌동,서울,50.8,18.0,1
232,개봉,서울,50.0,18.0,1
388,창동,서울,49.8,17.0,1
311,봉천,서울,49.4,18.0,1
206,평내호평,경기,49.2,15.0,1
73,백석,경기,49.0,14.0,1
267,"내방, 방배",서울,48.9,16.0,1
120,수지구청,경기,48.8,15.0,1
334,수서,서울,48.7,13.0,1
28,금정,경기,48.6,17.0,1
113,송내,경기,48.6,17.0,1
87,사우,경기,48.4,16.0,1
208,평택,경기,48.3,13.0,1
344,"신이문, 외대앞",서울,48.2,17.0,1
34,"남한산성입구, 단대오거리",경기,47.8,16.0,1
300,"목동, 신정, 신정네거리",서울,47.6,15.0,1
288,등촌,서울,47.5,16.0,1
247,광운대,서울,47.2,14.0,1
68,미금,경기,47.1,14.0,1
20,광명사거리,경기,46.6,16.0,1
277,대림,서울,46.5,17.0,1
66,"모란, 태평",경기,45.4,14.0,1
355,양천향교,서울,45.0,16.0,1
356,양평,서울,44.4,16.0,1
229,강동구청,서울,44.2,15.0,1
121,"수진, 신흥",경기,44.0,15.0,1
183,주엽,경기,43.6,13.0,3
62,망포,경기,43.6,15.0,1
373,이촌,서울,43.6,12.0,3
330,선유도,서울,43.4,17.0,1
172,일산,경기,43.4,14.0,3
77,병점,경기,43.2,16.0,1
216,한대앞,경기,43.1,14.0,3
395,하계,서울,42.6,16.0,1
