상권_ID,역명,지역,가성비_지수,클러스터
340,홍대입구,서울,44,1
281,"마곡, 마곡나루",서울,40,1
237,"공덕, 마포",서울,38,1
244,"교대, 서초",서울,32,1
246,구로디지털단지,서울,32,1
234,건대입구,서울,31,1
219,"가산디지털단지, 남구로",서울,31,1
256,남부터미널,서울,31,1
320,오목교,서울,30,1
285,"몽촌토성, 석촌, 송파, 송파나루, 잠실, 잠실나루, 한성백제",서울,30,1
288,발산,서울,30,1
299,서울대입구,서울,30,1
118,수원시청,경기,29,1
263,노원,서울,29,1
339,"한성대입구, 혜화",서울,28,1
227,"강변, 구의",서울,28,1
134,안양,경기,28,1
312,양재,서울,28,1
250,국회의사당,서울,28,1
268,"당산, 선유도",서울,27,1
280,"뚝섬, 서울숲, 성수",서울,27,1
94,상동,경기,27,1
235,"경복궁, 고려대, 광화문, 금호, 답십리, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 마장, 명동, 버티고개, 보문, 상왕십리, 서대문, 서울역, 성신여대입구, 시청, 신금호, 신답, 신당, 신설동, 아현, 안국, 안암, 애오개, 약수, 옥수, 왕십리, 용답, 을지로3가, 을지로4가, 을지로입구, 응봉, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 충정로, 한양대, 행당, 회현",서울,27,1
177,정발산,경기,27,1
310,압구정,서울,26,1
129,신중동,경기,26,1
137,야탑,경기,26,1
69,미사,경기,26,1
337,총신대입구,서울,25,1
180,정자,경기,24,1
184,중앙,경기,24,1
100,서현,경기,24,1
18,광교중앙,경기,24,1
318,연신내,서울,24,1
220,"가양, 등촌, 증미",서울,24,1
323,"우장산, 화곡",서울,24,1
294,"삼전, 석촌고분, 잠실새내",서울,23,1
74,범계,경기,23,1
82,부천,경기,23,1
115,수내,경기,23,1
117,수원,경기,23,1
83,부천시청,경기,22,1
287,미아사거리,서울,22,1
216,화정,경기,22,1
22,구리,경기,21,3
71,"발곡, 범골, 회룡",경기,21,3
88,산본,경기,20,3
38,다산,경기,20,3
58,마두,경기,20,3
245,구로,서울,20,3
243,"광흥창, 대흥, 망원, 상수, 서강대, 신촌, 이대, 합정",서울,19,3
204,평촌,경기,19,3
262,노량진,서울,19,3
258,"남영, 삼각지, 숙대입구, 신용산, 용산, 이촌, 효창공원앞",서울,19,3
305,"신이문, 외대앞, 회기",서울,18,3
21,구래,경기,18,3
229,개봉,서울,18,3
277,둔촌동,서울,18,3
130,신천,경기,18,3
238,"공릉, 먹골, 봉화산, 석계, 태릉입구, 화랑대",서울,18,3
253,길음,서울,18,3
191,철산,경기,18,3
19,광명,경기,18,3
336,청량리,서울,17,3
316,어린이대공원,서울,17,3
307,쌍문,서울,17,3
269,대림,서울,17,3
113,송내,경기,17,3
333,창동,서울,17,3
103,선부,경기,17,3
56,"동천, 오리",경기,17,3
28,금정,경기,17,3
148,영통,경기,17,3
20,광명사거리,경기,16,3
247,"구산, 불광, 역촌",서울,16,3
260,"내방, 방배",서울,16,3
34,"남한산성입구, 단대오거리",경기,16,3
315,양천향교,서울,16,3
87,사우,경기,16,3
77,병점,경기,16,3
293,사당,서울,15,3
311,압구정로데오,서울,15,3
62,망포,경기,15,3
226,강동구청,서울,15,3
203,평내호평,경기,15,3
249,구파발,서울,15,3
296,"상도, 숭실대입구, 장승배기",서울,15,3
297,"새절, 응암, 증산",서울,15,3
284,"목동, 신정, 신정네거리",서울,15,3
120,"수진, 신흥",경기,15,3
119,수지구청,경기,15,3
233,"거여, 마천",서울,15,3
242,광운대,서울,14,3
213,한대앞,경기,14,3
10,고잔,경기,14,3
178,정부과천청사,경기,14,3
170,일산,경기,14,3
221,"가오리, 미아, 삼양, 삼양사거리, 솔샘, 수유, 화계",서울,14,3
224,"강남구청, 봉은사, 삼성, 삼성중앙, 선릉, 선정릉, 청담",서울,14,3
289,방학,서울,14,3
66,"모란, 태평",경기,14,3
317,여의나루,서울,14,3
73,백석,경기,14,3
106,성복,경기,14,3
110,소사,경기,14,3
68,미금,경기,14,3
252,금천구청,서울,13,3
303,신도림,서울,13,3
300,수서,서울,13,3
283,"망우, 면목, 사가정, 상봉, 용마산, 중랑, 중화",서울,13,3
319,오류동,서울,13,3
30,기흥,경기,13,3
309,암사,서울,13,3
308,아차산,서울,13,3
251,군자,서울,13,3
181,주엽,경기,13,3
205,평택,경기,13,3
271,"도봉, 수락산",서울,13,3
133,안산,경기,13,3
218,"가락시장, 개롱, 경찰병원, 문정, 방이, 오금, 장지",서울,13,3
158,운정,경기,13,3
123,시흥능곡,경기,13,3
306,신풍,서울,12,3
322,"용두, 제기동",서울,12,3
97,상현,경기,12,3
198,춘의,경기,12,3
174,장자호수공원,경기,12,3
331,중곡,서울,12,3
187,지행,경기,12,3
135,야당,경기,12,3
172,장기,경기,12,3
146,역곡,경기,12,3
270,도림천,서울,12,3
304,"신목동, 염창",서울,12,3
295,상계,서울,12,3
286,"무악재, 홍제",서울,12,3
65,명학,경기,12,3
255,낙성대,서울,12,3
248,구일,서울,12,3
236,고덕,서울,12,3
232,"개화산, 방화",서울,11,0
327,장한평,서울,11,0
210,하남시청,경기,11,0
169,인덕원,경기,11,0
215,화서,경기,11,0
275,독산,서울,11,0
50,도농,경기,11,0
341,흑석,서울,11,0
25,군포,경기,11,0
157,운양,경기,11,0
153,오산대,경기,11,0
