상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
371,홍대입구,서울,151.1,44.0,3
287,"마곡, 마곡나루",서울,131.0,40.0,3
241,"공덕, 마포",서울,121.4,38.0,3
248,"교대, 서초",서울,107.3,32.0,3
343,오목교,서울,106.8,30.0,3
302,"봉은사, 삼성, 삼성중앙, 청담",서울,106.7,26.0,3
352,"잠실, 잠실나루",서울,104.9,32.0,3
370,"한성대입구, 혜화",서울,103.7,28.0,3
237,건대입구,서울,102.5,31.0,3
261,남부터미널,서울,102.5,31.0,3
299,발산,서울,99.7,30.0,3
268,노원,서울,99.4,29.0,3
321,"신길, 영등포, 영등포시장",서울,99.0,31.0,3
119,수원시청,경기,96.5,29.0,3
230,"강변, 구의",서울,94.8,28.0,3
308,"삼전, 잠실새내",서울,94.8,29.0,3
297,"문래, 영등포구청",서울,94.7,30.0,3
254,국회의사당,서울,94.2,28.0,3
332,압구정,서울,92.2,26.0,3
334,양재,서울,92.2,28.0,3
179,정발산,경기,91.8,27.0,3
118,수원,경기,91.7,23.0,3
222,"가산디지털단지, 남구로",서울,91.4,31.0,3
250,구로디지털단지,서울,89.0,32.0,3
138,야탑,경기,88.5,26.0,3
135,안양,경기,87.9,28.0,3
94,상동,경기,87.8,27.0,3
238,"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 성신여대입구, 시청, 신금호, 신당, 신설동, 안국, 약수, 옥수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",서울,87.5,27.0,3
374,회기,서울,86.0,26.0,3
315,서울대입구,서울,85.5,30.0,3
130,신중동,경기,84.2,26.0,3
366,총신대입구,서울,82.5,25.0,3
274,"당산, 선유도",서울,82.5,27.0,3
100,서현,경기,81.8,24.0,3
317,석촌고분,서울,81.0,25.0,3
74,범계,경기,79.6,23.0,3
186,중앙,경기,78.8,24.0,3
69,미사,경기,77.6,26.0,3
116,수내,경기,75.2,23.0,3
182,정자,경기,75.2,24.0,3
18,광교중앙,경기,74.6,24.0,3
88,산본,경기,72.9,20.0,1
219,화정,경기,72.9,22.0,1
286,"뚝섬, 서울숲, 성수",서울,71.6,27.0,3
223,"가양, 등촌, 증미",서울,71.6,24.0,3
341,연신내,서울,70.8,24.0,3
83,부천시청,경기,70.1,22.0,1
298,미아사거리,서울,69.0,22.0,1
58,마두,경기,67.2,20.0,1
295,"몽촌토성, 석촌, 송파, 송파나루, 한성백제",서울,67.2,21.0,1
373,화곡,서울,66.4,21.0,1
22,구리,경기,65.5,21.0,1
313,"서대문, 아현, 애오개, 충정로",서울,65.4,19.0,1
249,구로,서울,65.4,20.0,1
247,"광흥창, 대흥, 망원, 상수, 서강대, 신촌, 이대, 합정",서울,65.1,19.0,1
272,"답십리, 마장, 상왕십리, 신답, 왕십리, 용답, 한양대, 행당",서울,64.6,21.0,1
82,부천,경기,64.5,23.0,1
228,"강동, 길동, 천호",서울,64.2,22.0,1
353,장지,서울,63.8,18.0,1
240,"고려대, 안암",서울,63.6,18.0,1
333,압구정로데오,서울,62.4,15.0,1
19,광명,경기,61.2,18.0,1
267,노량진,서울,61.1,19.0,1
194,철산,경기,59.8,18.0,1
258,길음,서울,58.2,18.0,1
38,다산,경기,57.6,20.0,1
256,"굽은다리, 명일",서울,57.1,18.0,1
71,"발곡, 범골, 회룡",경기,57.0,21.0,1
149,영통,경기,56.7,17.0,1
103,선부,경기,56.6,17.0,1
340,여의나루,서울,56.4,14.0,1
207,평촌,경기,56.0,19.0,1
21,구래,경기,55.8,18.0,1
292,"먹골, 봉화산, 태릉입구, 화랑대",서울,55.7,17.0,1
131,신천,경기,54.6,18.0,1
339,어린이대공원,서울,53.6,17.0,1
242,공릉,서울,53.0,17.0,1
312,"새절, 응암",서울,52.8,19.0,1
251,"구산, 불광, 역촌",서울,52.2,16.0,1
56,"동천, 오리",경기,52.0,17.0,1
253,구파발,서울,52.0,15.0,1
365,청량리,서울,51.4,17.0,1
328,쌍문,서울,51.4,17.0,1
283,둔촌동,서울,50.8,18.0,1
307,사당,서울,50.8,15.0,1
232,개봉,서울,50.0,18.0,1
362,창동,서울,49.8,17.0,1
303,봉천,서울,49.4,18.0,1
206,평내호평,경기,49.2,15.0,1
73,백석,경기,49.0,14.0,1
306,"사가정, 용마산",서울,49.0,17.0,1
310,"상도, 장승배기",서울,49.0,16.0,1
265,"내방, 방배",서울,48.9,16.0,1
120,수지구청,경기,48.8,15.0,1
319,수서,서울,48.7,13.0,1
28,금정,경기,48.6,17.0,1
113,송내,경기,48.6,17.0,1
87,사우,경기,48.4,16.0,1
208,평택,경기,48.3,13.0,1
326,"신이문, 외대앞",서울,48.2,17.0,1
34,"남한산성입구, 단대오거리",경기,47.8,16.0,1
294,"목동, 신정, 신정네거리",서울,47.6,15.0,1
246,광운대,서울,47.2,14.0,1
68,미금,경기,47.1,14.0,1
20,광명사거리,경기,46.6,16.0,1
275,대림,서울,46.5,17.0,1
66,"모란, 태평",경기,45.4,14.0,1
227,"강남구청, 선릉, 선정릉",서울,45.2,14.0,1
337,양천향교,서울,45.0,16.0,1
338,양평,서울,44.4,16.0,1
236,"거여, 마천",서울,44.3,15.0,1
229,강동구청,서울,44.2,15.0,1
121,"수진, 신흥",경기,44.0,15.0,1
349,이촌,서울,43.6,12.0,2
62,망포,경기,43.6,15.0,1
183,주엽,경기,43.6,13.0,2
273,"당곡, 대방, 보라매, 보라매공원, 보라매병원, 샛강, 서울대벤처타운, 서울지방병무청, 서원, 신대방삼거리, 신림, 여의도",서울,43.4,15.0,1
172,일산,경기,43.4,14.0,1
77,병점,경기,43.2,16.0,1
216,한대앞,경기,43.1,14.0,1
367,하계,서울,42.6,16.0,1
300,방학,서울,42.6,14.0,1
160,운정,경기,42.3,13.0,2
324,신도림,서울,42.3,13.0,2
372,홍제,서울,41.8,13.0,2
330,암사,서울,41.8,13.0,2
180,정부과천청사,경기,41.6,14.0,1
285,"디지털미디어시티, 수색",서울,41.4,13.0,2
260,낙성대,서울,40.6,12.0,2
174,장기,경기,39.8,12.0,2
136,야당,경기,39.6,12.0,2
190,지행,경기,39.4,12.0,2
106,성복,경기,39.4,14.0,2
255,군자,서울,39.2,13.0,2
325,"신목동, 염창",서울,39.0,12.0,2
311,상일동,서울,39.0,12.0,2
218,화서,경기,38.6,11.0,2
342,오류동,서울,38.1,13.0,2
327,신풍,서울,38.0,12.0,2
124,시흥능곡,경기,37.9,13.0,2
375,흑석,서울,37.7,11.0,2
159,운양,경기,37.7,11.0,2
30,기흥,경기,37.6,13.0,2
110,소사,경기,37.4,14.0,2
184,죽전,경기,37.4,10.0,2
10,고잔,경기,36.5,14.0,2
257,금천구청,서울,36.2,13.0,2
358,중곡,서울,36.2,12.0,2
226,"강남, 고속터미널, 구반포, 논현, 동작, 반포, 사평, 신논현, 신반포, 신사, 언주, 역삼, 잠원, 학동",서울,36.2,10.0,2
176,장자호수공원,경기,36.0,12.0,2
97,상현,경기,35.8,12.0,2
239,고덕,서울,35.8,12.0,2
171,인덕원,경기,35.8,11.0,2
65,명학,경기,35.6,12.0,2
157,용인중앙시장,경기,35.0,11.0,2
244,관악산,서울,34.8,10.0,2
329,아차산,서울,34.6,13.0,2
345,"용두, 제기동",서울,34.4,12.0,2
224,"가오리, 미아, 삼양, 삼양사거리, 솔샘, 수유, 화계",서울,34.4,14.0,2
50,도농,경기,34.4,11.0,2
0,"가능, 경기도청북부청사, 경전철의정부, 곤제, 동오, 새말, 의정부, 의정부시청, 의정부중앙, 효자, 흥선",경기,33.9,14.0,2
147,역곡,경기,33.7,12.0,2
1,가천대,경기,33.6,9.0,2
154,오산대,경기,33.2,11.0,2
3,갈매,경기,33.2,10.0,2
104,성균관대,경기,32.8,11.0,2
143,양평,경기,32.8,10.0,2
291,매봉,서울,32.7,10.0,2
202,탄현,경기,32.4,9.0,2
259,까치산,서울,32.0,11.0,2
52,동구릉,경기,31.8,10.0,2
233,"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 학여울, 한티",서울,31.8,9.0,2
270,"녹사평, 이태원",서울,31.5,10.0,2
346,우장산,서울,31.4,11.0,2
17,광교,경기,31.4,10.0,2
276,도림천,서울,31.4,12.0,2
213,하남시청,경기,31.4,11.0,2
252,구일,서울,31.0,12.0,2
290,"망우, 상봉, 중랑",서울,31.0,12.0,2
