상권_ID,역명,지역,프리미엄_지수,가성비_지수,클러스터
5,"강매, 행신",경기,18.2,5.0,1
94,석수,경기,17.6,5.0,1
194,풍산,경기,17.4,5.0,1
56,마석,경기,16.4,5.0,1
144,용문,경기,16.4,5.0,1
22,구성,경기,16.4,5.0,1
12,고촌,경기,15.8,6.0,1
101,세마,경기,15.2,6.0,1
116,시흥시청,경기,15.0,6.0,1
45,덕소,경기,14.8,6.0,1
46,덕정,경기,14.6,5.0,1
117,신갈,경기,14.6,5.0,1
131,양촌,경기,14.6,5.0,1
285,청계산입구,서울,14.4,4.0,1
66,백마,경기,14.4,5.0,1
115,시흥대야,경기,13.4,6.0,1
284,천왕,서울,13.2,5.0,1
156,의왕,경기,13.1,5.0,1
270,양재시민의숲,서울,13.0,5.0,1
166,정왕,경기,12.8,5.0,1
255,불암산,서울,12.6,5.0,1
51,동백,경기,12.6,6.0,1
165,전대·에버랜드,경기,12.4,4.0,1
100,세류,경기,12.4,4.0,1
84,"삼가, 시청·용인대",경기,12.2,3.0,1
50,동두천중앙,경기,11.8,5.0,1
186,퇴계원,경기,11.6,5.0,1
184,초지,경기,11.6,5.0,1
254,북한산보국문,서울,10.8,5.0,1
244,도봉산,서울,10.4,3.0,1
274,온수,서울,10.4,4.0,1
183,초월,경기,10.4,3.0,1
98,"성남, 이매, 판교",경기,10.0,2.0,1
277,일원,서울,10.0,2.0,1
240,녹천,서울,9.8,3.0,1
128,양수,경기,9.5,2.0,1
282,중앙보훈병원,서울,9.4,3.0,1
48,도심,경기,9.4,4.0,1
192,평택지제,경기,9.2,3.0,1
60,매탄권선,경기,8.6,4.0,1
136,연천,경기,8.4,4.0,1
2,가평,경기,8.2,2.0,1
25,금곡,경기,7.4,3.0,1
151,원시,경기,7.4,3.0,1
113,시우,경기,7.4,3.0,1
14,곤지암,경기,7.4,3.0,1
72,보산,경기,7.2,2.0,1
91,서동탄,경기,7.2,2.0,1
138,오남,경기,7.2,3.0,1
73,보정,경기,6.2,2.0,1
8,"경마공원, 과천, 대공원, 정부과천청사",경기,5.4,2.0,1
276,"월계, 하계",서울,5.4,2.0,1
42,대야미,경기,5.4,2.0,1
34,능곡,경기,5.2,2.0,1
79,사릉,경기,5.0,1.0,1
157,이천,경기,5.0,1.0,1
233,남태령,서울,5.0,1.0,1
4,"강남대, 어정, 지석",경기,5.0,1.0,1
126,야목,경기,4.5,1.0,1
85,삼동,경기,4.4,2.0,1
109,수리산,경기,4.4,2.0,1
121,신현,경기,4.4,2.0,1
83,산성,경기,4.2,2.0,1
65,반월,경기,4.2,2.0,1
87,상갈,경기,4.2,2.0,1
74,보평,경기,4.2,2.0,1
9,고색,경기,4.2,2.0,1
7,경기광주,경기,4.2,2.0,1
130,양주,경기,3.2,1.0,1
188,팔당,경기,3.2,1.0,1
235,노들,서울,3.2,1.0,1
181,청평,경기,3.2,1.0,1
177,천마산,경기,3.2,1.0,1
118,신둔도예촌,경기,3.2,1.0,1
162,장암,경기,3.2,1.0,1
155,월롱,경기,2.2,1.0,1
105,소요산,경기,2.2,1.0,1
15,관악,경기,2.2,1.0,1
182,초당,경기,2.0,1.0,1
187,파주,경기,2.0,1.0,1
30,까치울,경기,2.0,1.0,1
13,곡산,경기,0.0,0.0,1
134,여주,경기,0.0,0.0,1
133,어천,경기,0.0,0.0,1
175,진위,경기,0.0,0.0,1
173,지평,경기,0.0,0.0,1
160,임진강,경기,0.0,0.0,1
145,운길산,경기,0.0,0.0,1
148,운천,경기,0.0,0.0,1
140,오빈,경기,0.0,0.0,1
119,신원,경기,0.0,0.0,1
122,아신,경기,0.0,0.0,1
143,오이도,경기,0.0,0.0,1
150,원덕,경기,0.0,0.0,1
198,한국항공대,경기,0.0,0.0,1
102,세종대왕릉,경기,0.0,0.0,1
180,청산,경기,0.0,0.0,1
129,양정,경기,0.0,0.0,1
211,개화,서울,0.0,0.0,1
95,선바위,경기,0.0,0.0,1
89,상천,경기,0.0,0.0,1
75,부발,경기,0.0,0.0,1
40,대곡,경기,0.0,0.0,1
41,대성리,경기,0.0,0.0,1
37,달미,경기,0.0,0.0,1
38,달월,경기,0.0,0.0,1
35,능길,경기,0.0,0.0,1
23,국수,경기,0.0,0.0,1
49,동두천,경기,0.0,0.0,1
260,서빙고,서울,0.0,0.0,1
