상권_ID,역명,지역,프리미엄_지수,클러스터
340,홍대입구,서울,151.1,1
281,"마곡, 마곡나루",서울,131.0,1
237,"공덕, 마포",서울,121.4,1
244,"교대, 서초",서울,107.3,1
320,오목교,서울,106.8,1
339,"한성대입구, 혜화",서울,103.7,1
256,남부터미널,서울,102.5,1
234,건대입구,서울,102.5,1
288,발산,서울,99.7,1
263,노원,서울,99.4,1
118,수원시청,경기,96.5,1
227,"강변, 구의",서울,94.8,1
250,국회의사당,서울,94.2,1
285,"몽촌토성, 석촌, 송파, 송파나루, 잠실, 잠실나루, 한성백제",서울,94.0,1
310,압구정,서울,92.2,1
312,양재,서울,92.2,1
177,정발산,경기,91.8,1
117,수원,경기,91.7,1
219,"가산디지털단지, 남구로",서울,91.4,1
235,"경복궁, 고려대, 광화문, 금호, 답십리, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 마장, 명동, 버티고개, 보문, 상왕십리, 서대문, 서울역, 성신여대입구, 시청, 신금호, 신답, 신당, 신설동, 아현, 안국, 안암, 애오개, 약수, 옥수, 왕십리, 용답, 을지로3가, 을지로4가, 을지로입구, 응봉, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 충정로, 한양대, 행당, 회현",서울,90.1,1
246,구로디지털단지,서울,89.0,1
137,야탑,경기,88.5,1
134,안양,경기,87.9,1
94,상동,경기,87.8,1
299,서울대입구,서울,85.5,1
129,신중동,경기,84.2,1
337,총신대입구,서울,82.5,1
268,"당산, 선유도",서울,82.5,1
100,서현,경기,81.8,1
74,범계,경기,79.6,1
184,중앙,경기,78.8,1
69,미사,경기,77.6,1
323,"우장산, 화곡",서울,76.4,1
294,"삼전, 석촌고분, 잠실새내",서울,75.9,1
115,수내,경기,75.2,1
180,정자,경기,75.2,1
18,광교중앙,경기,74.6,1
216,화정,경기,72.9,1
88,산본,경기,72.9,1
280,"뚝섬, 서울숲, 성수",서울,71.6,1
220,"가양, 등촌, 증미",서울,71.6,1
318,연신내,서울,70.8,1
